사업장명,도로명전체주소,상세영업상태명
한마음가든,제주특별자치도 서귀포시 일주동로 8272 (신효동),영업
목포고을본점,제주특별자치도 서귀포시 일주서로 968-5 (색달동),영업
신혼듸모영,제주특별자치도 서귀포시 중정로91번길 53 (서귀동),영업
해피포차,제주특별자치도 서귀포시 명동로 15 (서귀동),영업
제주섭지회관,제주특별자치도 서귀포시 성산읍 섭지코지로 62,영업
늘푸른식당,제주특별자치도 서귀포시 동홍중앙로 8 (동홍동),영업
오늘싱싱회,"제주특별자치도 서귀포시 신서로48번길 20-9, 1층 1호 (강정동)",영업
흑도니,제주특별자치도 서귀포시 표선면 일주동로 6291,영업
경아네집밥,제주특별자치도 서귀포시 중문로 90 (중문동),영업
신시가지안성식당,제주특별자치도 서귀포시 김정문화로 69-1 (서호동),영업
탐라국꾼,제주특별자치도 서귀포시 남원읍 태위로 673,영업
해비치블랙,제주특별자치도 서귀포시 표선면 민속해안로 578-4,영업
봄므,제주특별자치도 서귀포시 태평로 60 (호근동),영업
겸성식당,제주특별자치도 서귀포시 이어도로 918 (법환동),영업
한라연회,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),영업
동성수산,제주특별자치도 서귀포시 대정읍 최남단해안로 46,영업
(주)누가의료기지점누가빌리지,제주특별자치도 서귀포시 산록남로 2704 (토평동),영업
오랑주리,제주특별자치도 서귀포시 남원읍 하례로 296,영업
천년동안애,제주특별자치도 서귀포시 중앙로 70-1 (서귀동),영업
안뜨레제주집,제주특별자치도 서귀포시 신서귀로51번길 5 (법환동),영업
세영식품(주)제주아쿠아플라넷점,"제주특별자치도 서귀포시 성산읍 섭지코지로 95, Aqua Planet Jeju 지1층",영업
몬딱,제주특별자치도 서귀포시 안덕면 화순중앙로 132,영업
바른피자,제주특별자치도 서귀포시 중문관광로 296 (대포동),영업
썬라이즈호텔카페,"제주특별자치도 서귀포시 중문관광로 310, 1층 (중문동)",영업
소라성,"제주특별자치도 서귀포시 막숙포로40번길 6, 2층 (법환동)",영업
이매화지혜제주해물밥표선점,제주특별자치도 서귀포시 표선면 민속해안로 19,영업
자매해장국,제주특별자치도 서귀포시 남원읍 남원회관로 97,영업
준식당,제주특별자치도 서귀포시 신서로 81-3 (강정동),영업
에이그라운드,제주특별자치도 서귀포시 성산읍 서성일로 431,영업
웃음꽃,"제주특별자치도 서귀포시 표선면 표선동서로 258, 1층",영업
주민상회화순점,제주특별자치도 서귀포시 안덕면 화순로 131,영업
버디클럽스크린골프,"제주특별자치도 서귀포시 대청로 41, 5층 503호 (강정동, 블루빌딩)",영업
흑돼지박스,제주특별자치도 서귀포시 성산읍 신양로 100,영업
통족표선점,"제주특별자치도 서귀포시 표선면 표선중앙로58번길 10, 1층",영업
로이앤메이,제주특별자치도 서귀포시 성산읍 온평상하로15번길 12-7,영업
윤씨네숯불갈비,"제주특별자치도 서귀포시 동홍남로 28, B동 1층 (동홍동)",영업
수수향,"제주특별자치도 서귀포시 남원읍 위미항구로 74, 1층",영업
범프스낵(Bump Snacks),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
라바스낵(Larva Snacks),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
런치박스(Lunch Box),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
스테이지사이드스낵(Stage Side Snacks),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
윙클스비스트로(Wingcle´s Bistro),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
윙클스피자리아(Wingcle´s Pizzeria),"제주특별자치도 서귀포시 안덕면 신화역사로304번길 98, 1층",영업
마르시,제주특별자치도 서귀포시 중동로48번길 7-1 (서귀동),영업
공육사,제주특별자치도 서귀포시 동문로 45 (서귀동),영업
서귀포어시장,제주특별자치도 서귀포시 정방로 17 (서귀동),영업
옥자네 매운조림,"제주특별자치도 서귀포시 대정읍 하모이삼로52번길 18-3, 2층",영업
낙낭회센터,제주특별자치도 서귀포시 동홍중앙로 50 (동홍동),영업
이비가짬뽕제주서귀포점,제주특별자치도 서귀포시 일주동로 8672 (동홍동),영업
허브동산흑돼지,제주특별자치도 서귀포시 표선면 돈오름로 180,영업
정희네손칼국수,제주특별자치도 서귀포시 표선면 표선관정로 100,영업
웃드르식당,제주특별자치도 서귀포시 표선면 토산세화로 37,영업
육회말투아웃,"제주특별자치도 서귀포시 천제연로 189, 1층 (중문동)",영업
서귀포칼호텔한라정,제주특별자치도 서귀포시 칠십리로 242 (토평동),영업
엄마도시락,"제주특별자치도 서귀포시 중앙로 154, 1층 (서홍동)",영업
영웅식당제주산방산점,제주특별자치도 서귀포시 안덕면 화순로 102-1,영업
깡,제주특별자치도 서귀포시 표선면 가시로565번길 18,영업
주공민경이네집식당,"제주특별자치도 서귀포시 동홍중앙로 9, 103호 (동홍동)",영업
명물고기집,제주특별자치도 서귀포시 서문로29번길 3 (서귀동),영업
신틈새불닭발,제주특별자치도 서귀포시 명동로 5 (서귀동),영업
금복식당,제주특별자치도 서귀포시 중앙로48번길 18 (서귀동),영업
산야,"제주특별자치도 서귀포시 태평로 357, 1층 (서귀동)",영업
표선수산마트,"제주특별자치도 서귀포시 표선면 표선중앙로110번길 3-4, 2층",영업
받거니주거니,제주특별자치도 서귀포시 대정읍 하모상가로 22,영업
모슬포마라수산시장식당,"제주특별자치도 서귀포시 대정읍 하모항구로 8, 1층",영업
신나는철스아랑조을거리점,제주특별자치도 서귀포시 천지로 8 (서귀동),영업
이씨네수라간,"제주특별자치도 서귀포시 신동로27번길 42, 1층 (서호동)",영업
제주돈아서귀포점,제주특별자치도 서귀포시 돈내코로 191 (상효동),영업
돈치킨서귀포시모슬포점,"제주특별자치도 서귀포시 대정읍 상모로273번길 42, 102호",영업
환이네,제주특별자치도 서귀포시 안덕면 사계중앙로18번길 5,영업
미도식당,제주특별자치도 서귀포시 안덕면 사계남로216번길 11,영업
신우가촌,제주특별자치도 서귀포시 이어도로 1042 (서호동),영업
기장산아나고구이,제주특별자치도 서귀포시 천지로 25 (서귀동),영업
신쭈,"제주특별자치도 서귀포시 소암로 12-1, 1층 (서귀동)",영업
바ㅤㄱㅛㅇ식당,"제주특별자치도 서귀포시 남원읍 태위로 87, 1층",영업
돈꿀꺽표선점,"제주특별자치도 서귀포시 표선면 표선당포로 16-4, 1층",영업
야자수풀빌라,"제주특별자치도 서귀포시 표선면 일주동로5661번길 33, 1층",영업
화산흑돈마루,"제주특별자치도 서귀포시 성산읍 신양로 116, 2층",영업
까브치킨,제주특별자치도 서귀포시 안덕면 사계남로 202,영업
천일만두,"제주특별자치도 서귀포시 서문로 25, 1층 (서귀동)",영업
골드스푼,"제주특별자치도 서귀포시 대청로25번길 4, 3층 303호 (강정동)",영업
옛고을흑돼지구이,제주특별자치도 서귀포시 표선면 민속해안로97번길 35,영업
어니스트밀크,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55, 1층 19호",영업
예주꿩메밀,제주특별자치도 서귀포시 서문서로 55 (서귀동),영업
인생역전,"제주특별자치도 서귀포시 동홍로 15, 1층 (서귀동)",영업
구억불사나이,"제주특별자치도 서귀포시 대정읍 중산간서로 2275, 1층",영업
도연치킨분식,제주특별자치도 서귀포시 대정읍 추사로55번길 7-4,영업
올레2번가갈비,제주특별자치도 서귀포시 서문로 31 (서귀동),영업
달빛부둣가,제주특별자치도 서귀포시 칠십리로 38-1 (서귀동),영업
골프존파크중문스크린,제주특별자치도 서귀포시 천제연로 244 (중문동),영업
안케머리식당,제주특별자치도 서귀포시 성산읍 환해장성로 492,영업
예촌삼계탕,제주특별자치도 서귀포시 상예로 249-9 (상예동),영업
