사업장명,도로명전체주소,상세영업상태명
슬로우,"제주특별자치도 제주시 도남로 3, 1층 (도남동)",영업
꾸브라꼬숯불두마리치킨이도점,"제주특별자치도 제주시 고산동산5길 19, 1층 (이도이동)",영업
골목술집,"제주특별자치도 제주시 동광로21길 3, 1층 (일도이동)",영업
근고기세상,"제주특별자치도 제주시 동문로4길 9, 동문공설시장, 동문공영주차장 1층 (일도일동)",영업
천재당구카페,"제주특별자치도 제주시 절물2길 37, 3층 (외도일동)",영업
주식회사싱싱잇,"제주특별자치도 제주시 한림읍 한림로 181, 1층",영업
아방얼큰칼국수,"제주특별자치도 제주시 중앙로12길 22, 1층 (삼도이동)",영업
아트인명도암,"제주특별자치도 제주시 명림로 209, 1층 (봉개동)",영업
협재시흥소곱창구이,"제주특별자치도 제주시 한림읍 한림로 331, 1층",영업
임꺽정도시락,"제주특별자치도 제주시 진군길 19-2, 1층 (노형동)",영업
진미돼지국밥,"제주특별자치도 제주시 조천읍 신북로 632, 1층",영업
호식이두마리치킨삼화점,"제주특별자치도 제주시 일주동로 340, 백양빌딩 1층 (삼양이동)",영업
청춘두루치기,"제주특별자치도 제주시 정존1길 25, 1층 (노형동)",영업
공생,"제주특별자치도 제주시 천수동로2길 23, 1층 (일도이동)",영업
빼어날수,"제주특별자치도 제주시 연동6길 11, 1층 (연동)",영업
후윤식당,"제주특별자치도 제주시 남성로 120, 1층 (삼도일동)",영업
추자골목식당,"제주특별자치도 제주시 추자면 대서3길 8, 1층",영업
그집,"제주특별자치도 제주시 광양13길 26, 1층 (이도이동)",영업
백일흑야,"제주특별자치도 제주시 산천단동3길 26, 1층 (아라일동)",영업
고깃소리,"제주특별자치도 제주시 서흘1길 56, 1,2층 (삼양일동)",영업
교촌치킨외도하귀점,"제주특별자치도 제주시 애월읍 하귀9길 56, 1층",영업
신창흑돼지두루치기,"제주특별자치도 제주시 한경면 두신로 74-1, 1층",영업
모모스,"제주특별자치도 제주시 서흘1길 26, 3층 (삼양일동)",영업
삼화포구2,"제주특별자치도 제주시 서흘1길 26, 2층 (삼양일동)",영업
일품물항아리,"제주특별자치도 제주시 애월읍 하귀9길 23, 1층",영업
안트레오젠,"제주특별자치도 제주시 애월읍 곽지1길 16, 1층",영업
